   0.100D+00   0.985D+01   0.149D+00
   0.200D+00   0.955D+01   0.172D+00
   0.299D+00   0.940D+01   0.378D+00
   0.399D+00   0.101D+02   0.772D+00
   0.499D+00   0.105D+02   0.108D+01
   0.598D+00   0.106D+02   0.128D+01
   0.698D+00   0.106D+02   0.141D+01
   0.798D+00   0.104D+02   0.149D+01
   0.897D+00   0.103D+02   0.153D+01
   0.997D+00   0.102D+02   0.156D+01
   0.110D+01   0.101D+02   0.158D+01
   0.120D+01   0.994D+01   0.159D+01
   0.130D+01   0.980D+01   0.159D+01
   0.140D+01   0.968D+01   0.159D+01
   0.150D+01   0.956D+01   0.159D+01
   0.160D+01   0.947D+01   0.158D+01
   0.169D+01   0.939D+01   0.158D+01
   0.179D+01   0.927D+01   0.157D+01
   0.189D+01   0.918D+01   0.156D+01
   0.199D+01   0.909D+01   0.155D+01
   0.209D+01   0.899D+01   0.154D+01
