  0.8710E+01  0.1428E-05  0.1938E-05 
  0.8810E+01  0.4266E-02  0.5984E-02 
  0.8910E+01  0.8299E-02  0.1213E-01 
  0.9010E+01  0.1204E-01  0.1843E-01 
  0.9110E+01  0.1546E-01  0.2493E-01 
  0.9210E+01  0.1851E-01  0.3165E-01 
  0.9310E+01  0.2114E-01  0.3869E-01 
  0.9410E+01  0.2325E-01  0.4615E-01 
  0.9510E+01  0.2472E-01  0.5418E-01 
  0.9610E+01  0.2531E-01  0.6311E-01 
  0.9710E+01  0.2454E-01  0.7358E-01 
  0.9810E+01  0.2069E-01  0.8774E-01 
  0.9910E+01  0.1181E-01  0.1026E+00 
  0.1001E+02  0.7962E-02  0.1063E+00 
  0.1011E+02  0.4543E-03  0.8075E-01 
  0.1021E+02  0.2927E-03  0.6890E-01 
  0.1031E+02  0.1734E-03  0.5617E-01 
  0.1041E+02  0.8620E-04  0.4217E-01 
  0.1051E+02  0.2804E-04  0.2583E-01 
