    tot dens  n        p        e-     Sigma-   Lambda   Sigma0   Sigma+
    0.850   1110.9   1079.1     31.9   1142.8   1110.9   1176.2   1223.5
    0.860   1112.9   1083.2     29.7   1142.6   1112.9   1175.2   1223.7
    0.870   1114.8   1087.2     27.6   1142.5   1114.8   1174.5   1223.9
    0.880   1116.7   1091.1     25.6   1142.4   1116.7   1174.0   1224.3
    0.890   1118.6   1094.9     23.7   1142.3   1118.6   1173.7   1224.8
    0.900   1120.5   1098.6     21.8   1142.3   1120.5   1173.9   1225.4
    0.910   1122.3   1102.1     20.2   1142.4   1122.3   1175.1   1226.2
    0.920   1124.0   1105.5     18.5   1142.6   1124.0   1176.8   1227.2
    0.930   1125.8   1108.9     16.9   1142.7   1125.8   1178.8   1228.3
    0.940   1127.6   1112.3     15.3   1142.9   1127.6   1181.3   1229.4
    0.950   1129.4   1115.8     13.7   1143.1   1129.4   1184.0   1230.6
    0.960   1131.3   1119.2     12.0   1143.3   1131.3   1186.9   1231.8
    0.970   1133.2   1122.8     10.4   1143.5   1133.1   1190.0   1232.9
    0.980   1135.0   1126.4      8.7   1143.7   1135.0   1193.0   1234.0
    0.990   1137.0   1130.0      6.9   1143.9   1137.0   1196.0   1234.9
    1.000   1138.9   1133.7      5.2   1144.1   1138.9   1198.7   1235.7
    1.010   1140.8   1137.3      3.5   1144.2   1140.8   1199.7   1236.0
    1.020   1142.6   1140.9      1.8   1144.4   1142.6   1200.3   1236.1
    1.030   1144.5   1144.4      0.1   1144.6   1144.5   1200.5   1236.1
    1.040   1146.3   1147.8     -1.5   1144.7   1146.3   1200.4   1236.1
    1.050   1148.0   1151.2     -3.1   1144.9   1148.0   1200.0   1236.1
    1.060   1149.8   1154.5     -4.7   1145.0   1149.8   1199.2   1236.1
    1.070   1151.4   1157.7     -6.3   1145.2   1151.4   1198.2   1236.2
    1.080   1153.1   1160.9     -7.8   1145.3   1153.1   1197.1   1236.5
    1.090   1154.7   1164.0     -9.3   1145.4   1154.7   1195.7   1237.1
    1.100   1156.3   1167.1    -10.8   1145.5   1156.3   1194.3   1237.8
    1.110   1158.0   1170.3    -12.3   1145.7   1158.0   1194.1   1239.6
    1.120   1159.6   1173.4    -13.8   1145.8   1159.6   1193.7   1241.5
    1.130   1161.3   1176.6    -15.3   1146.0   1161.3   1193.0   1243.4
    1.140   1163.0   1179.7    -16.8   1146.2   1163.0   1192.2   1245.1
    1.150   1164.6   1182.9    -18.2   1146.4   1164.6   1191.1   1246.6
    1.160   1166.3   1186.0    -19.7   1146.6   1166.3   1189.9   1247.8
    1.170   1168.0   1189.1    -21.2   1146.8   1168.0   1188.4   1248.5
    1.180   1169.6   1192.2    -22.6   1147.0   1169.6   1186.8   1248.8
    1.190   1171.3   1195.3    -24.1   1147.2   1171.3   1185.0   1248.4
    1.200   1172.9   1198.4    -25.5   1147.4   1172.9   1183.2   1247.4
    1.210   1174.5   1201.5    -27.0   1147.6   1174.5   1181.3   1245.7
    1.220   1176.1   1204.6    -28.4   1147.7   1176.1   1179.5   1243.2
