 0.062     0.0    92.9
 0.188     0.2    81.8
 0.312     0.4    72.7
 0.437     0.7    65.1
 0.562     1.0    58.5
 0.687     1.4    52.9
 0.812     1.8    48.2
 0.937     2.3    44.1
 1.062     3.0    40.8
 1.187     3.8    38.1
 1.312     4.7    35.9
 1.437     5.7    34.3
 1.562     6.9    33.2
 1.687     8.2    32.5
 1.812     9.8    32.3
 1.937    11.4    32.6
 2.062    13.3    33.2
 2.188    15.4    34.3
 2.312    17.6    35.7
 2.438    20.1    37.5
 2.563    22.7    39.7
 2.688    25.5    42.2
 2.813    28.6    45.0
 2.938    31.9    48.2
 3.063    35.4    51.6
 3.188    39.1    55.4
 3.313    43.0    59.5
 3.438    47.2    63.8
 3.562    51.6    68.5
 3.688    56.2    73.4
 3.812    61.1    78.6
 3.937    66.2    84.0
 4.062    71.6    89.7
 4.187    77.2    95.7
 4.312    83.0   101.9
 4.437    89.1   108.3
 4.562    95.4   115.0
 4.687   102.0   121.9
 4.812   108.8   129.1
 4.937   115.9   136.5
 5.062   123.3   144.1
 5.187   130.8   151.9
 5.312   138.7   159.9
 5.437   146.9   168.1
 5.562   155.2   176.6
 5.687   163.8   185.2
 5.812   172.7   194.1
 5.937   181.9   203.1
 6.062   191.2   212.4
 6.187   200.9   221.8
 6.312   210.9   231.4
 6.437   221.1   241.3
 6.562   231.6   251.3
 6.687   242.4   261.5
 6.812   253.3   271.8
 6.937   264.6   282.4
 7.062   276.2   293.1
 7.187   287.9   304.0
 7.312   300.0   315.1
 7.437   312.3   326.3
 7.562   324.9   337.7
 7.687   337.9   349.3
 7.812   351.0   361.0
 7.937   364.4   372.9
 8.062   378.2   385.0
 8.187   392.1   397.2
 8.312   406.4   409.6
 8.437   420.8   422.1
 8.562   435.6   434.8
 8.687   450.7   447.7
 8.812   466.1   460.7
 8.937   481.8   473.8
 9.062   497.6   487.1
 9.187   513.8   500.6
 9.312   530.2   514.2
 9.437   546.9   527.9
 9.562   563.8   541.8
 9.687   581.0   555.8
 9.812   598.7   570.0
 9.937   616.4   584.3
10.062   634.4   598.7
10.187   652.9   613.3
10.312   671.4   628.0
10.437   690.5   642.9
10.562   709.5   657.9
10.687   729.1   673.0
10.812   748.9   688.2
10.937   768.7   703.6
11.062   789.1   719.1
11.187   809.7   734.8
11.312   830.6   750.6
11.437   851.4   766.5
11.562   872.9   782.5
11.687   894.6   798.6
11.812   916.5   814.9
11.937   938.8   831.3
12.062   961.3   847.9
12.187   984.0   864.5
12.312  1007.0   881.3
12.437  1030.3   898.2
12.562  1054.3   915.2
12.687  1078.1   932.3
12.812  1102.2   949.5
12.937  1126.5   966.9
13.062  1151.1   984.4
13.187  1176.5  1002.0
13.812  1305.7  1091.7
14.437  1441.6  1184.1
15.062  1584.7  1279.3
15.687  1735.0  1377.1
16.312  1891.9  1477.5
16.937  2055.6  1580.4
17.562  2226.5  1685.7
18.187  2404.2  1793.4
18.812  2589.3  1903.4
20.062  2979.6  2130.2
21.312  3398.6  2365.7
22.562  3844.4  2609.5
23.812  4319.2  2861.4
25.062  4820.9  3121.0
26.312  5350.7  3388.1
27.562  5907.2  3662.5
28.812  6493.8  3944.0
30.062  7105.4  4232.3
31.312  7747.6  4527.2
32.562  8414.6  4828.6
33.812  9112.6  5136.2
35.062  9835.2  5450.1
36.312 10587.0  5769.9
37.562 11365.6  6095.5
38.812 12173.7  6426.9
40.062 13008.7  6764.0
41.312 13870.4  7106.4
42.562 14762.3  7454.3
43.812 15677.6  7807.4
45.062 16623.1  8165.7
46.312 17595.4  8529.1
47.562 18598.5  8897.4
48.812 19624.3  9270.7
50.062 20681.2  9648.7

