  1  4  1  4  0  0    -6.24473
  1  4  2  5  0  0     4.13790
  2  5  2  5  0  0    -3.73969
  1  1  1  1  0  1    -1.30733
  1  1  1  2  0  1     5.28080
  1  1  2  2  0  1     1.99220
  1  1  3  3  0  1      .61530
  1  1  3  4  0  1    -2.52080
  1  1  4  4  0  1    -1.56240
  1  1  4  5  0  1     -.08200
  1  1  5  5  0  1     -.02040
  1  2  1  2  0  1    -4.38684
  1  2  2  2  0  1     1.82600
  1  2  3  3  0  1    -1.43290
  1  2  3  4  0  1     2.97690
  1  2  4  4  0  1     -.76380
  1  2  4  5  0  1    -1.77590
  1  2  5  5  0  1    -1.31690
  2  2  2  2  0  1    -3.90693
  2  2  3  3  0  1    -2.09210
  2  2  3  4  0  1      .24860
  2  2  4  4  0  1     1.26740
  2  2  4  5  0  1     1.94360
  2  2  5  5  0  1     1.32310
  3  3  3  3  0  1    -2.10691
  3  3  3  4  0  1     2.46500
  3  3  4  4  0  1     2.78090
  3  3  4  5  0  1     1.25190
  3  3  5  5  0  1     -.62510
  3  4  3  4  0  1    -3.98476
  3  4  4  4  0  1     -.19540
  3  4  4  5  0  1     1.04590
  3  4  5  5  0  1     1.65390
  4  4  4  4  0  1    -2.46889
  4  4  4  5  0  1    -1.83960
  4  4  5  5  0  1      .05530
  4  5  4  5  0  1    -4.99843
  4  5  5  5  0  1      .67490
  5  5  5  5  0  1    -5.08043
  1  3  1  3  0  1     -.91167
  1  3  1  4  0  1     4.16290
  1  3  1  5  0  1      .43260
  1  3  2  4  0  1     1.91080
  1  3  2  5  0  1      .78250
  1  4  1  4  0  1    -5.17713
  1  4  1  5  0  1     -.91030
  1  4  2  4  0  1    -1.87460
  1  4  2  5  0  1    -1.37750
  1  5  1  5  0  1     -.73669
  1  5  2  4  0  1     -.21420
  1  5  2  5  0  1    -3.21140
  2  4  2  4  0  1    -1.04838
  2  4  2  5  0  1     -.22790
  2  5  2  5  0  1    -3.43269
  1  2  1  2  0  2    -2.93654
  1  2  3  4  0  2     3.93810
  1  2  3  5  0  2      .19460
  1  2  4  5  0  2      .23020
  3  4  3  4  0  2    -3.79076
  3  4  3  5  0  2    -1.59550
  3  4  4  5  0  2    -1.90680
  3  5  3  5  0  2    -1.52421
  3  5  4  5  0  2    -3.00010
  4  5  4  5  0  2    -2.49024
  1  3  1  3  0  2    -2.49887
  1  3  1  4  0  2     1.76050
  1  3  1  5  0  2    -2.27260
  1  3  2  3  0  2    -4.29630
  1  3  2  4  0  2     1.91950
  1  4  1  4  0  2    -2.13523
  1  4  1  5  0  2      .47730
  1  4  2  3  0  2     1.37590
  1  4  2  4  0  2     2.97220
  1  5  1  5  0  2    -5.17309
  1  5  2  3  0  2    -2.33880
  1  5  2  4  0  2     1.06280
  2  3  2  3  0  2    -4.28207
  2  3  2  4  0  2    -1.00070
  2  4  2  4  0  2    -4.98608
  1  1  1  1  0  3    -4.29313
  1  1  3  3  0  3     1.19240
  1  1  3  4  0  3    -1.75290
  1  1  3  5  0  3      .77910
