   013141315 2    -0.5357   -0.0037   -0.0002    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   013141415 2    -0.6257   -0.0050   -0.0006   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   013151315 2   -81.3764   -0.3602   -0.0262   -0.0049   -0.0012  -80.8278   -0.3394   -0.0232   -0.0042   -0.0010
   013151415 2    -1.0038   -0.0124   -0.0019   -0.0005   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   014151415 2   -80.8543   -0.3755   -0.0284   -0.0054   -0.0013  -79.9293   -0.3517   -0.0248   -0.0045   -0.0011
   012121212 3   -80.2022   -0.1405    0.0076    0.0030    0.0010  -79.8504   -0.1127    0.0120    0.0042    0.0013
   012121213 3    -0.1400    0.0020    0.0004    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   012121214 3    -0.3105   -0.0140   -0.0019   -0.0005   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   012121215 3    -0.1503   -0.0010    0.0001    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   012121313 3     0.0028    0.0044    0.0006    0.0002    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   012121314 3    -0.0059   -0.0140   -0.0023   -0.0006   -0.0002    0.0000    0.0000    0.0000    0.0000    0.0000
   012121315 3     0.0245    0.0074    0.0010    0.0002    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   012121414 3    -0.1829   -0.0056   -0.0006   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   012121616 3    -0.4330   -0.0042   -0.0009   -0.0001   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   012131213 3   -81.0329   -0.2205   -0.0049    0.0001    0.0001  -80.3161   -0.2030   -0.0022    0.0007    0.0003
   012131214 3    -0.4253    0.0009    0.0007    0.0002    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   012131215 3    -0.5716   -0.0071   -0.0006   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   012131313 3    -0.1657   -0.0063   -0.0008   -0.0002    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   012131314 3     0.3343    0.0141    0.0020    0.0005    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   012131315 3    -0.2867   -0.0097   -0.0014   -0.0003   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   012131414 3    -0.2689   -0.0073   -0.0012   -0.0003   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   012131616 3     0.0727   -0.0031   -0.0002   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   012141214 3   -79.8261   -0.2276   -0.0056    0.0000    0.0001  -79.4177   -0.2154   -0.0038    0.0004    0.0003
   012141215 3    -0.5567   -0.0038   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   012141313 3     0.0542   -0.0014   -0.0002   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   012141314 3     0.1270    0.0022    0.0003    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   012141315 3     0.0709    0.0050    0.0007    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   012141414 3    -0.3272   -0.0104   -0.0016   -0.0004   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   012141616 3    -0.1614    0.0030    0.0004    0.0002    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   012151215 3   -81.4112   -0.2725   -0.0122   -0.0016   -0.0003  -80.3621   -0.2491   -0.0090   -0.0008   -0.0001
   012151313 3     0.0588   -0.0054   -0.0010   -0.0003   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   012151314 3     0.2266    0.0108    0.0017    0.0004    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   012151315 3    -0.2133   -0.0062   -0.0007   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
