   012161216 2   -74.9966   -0.2296   -0.0065    0.0016    0.0022  -72.1662   -0.1548    0.0050    0.0024    0.0008
   012161216 3   -73.7788   -0.1963   -0.0018    0.0003    0.0002  -72.1662   -0.1548    0.0050    0.0024    0.0008
   012161316 3     0.4677   -0.0092   -0.0018   -0.0023   -0.0018    0.0000    0.0000    0.0000    0.0000    0.0000
   013161316 3   -73.1903   -0.2751   -0.0151    0.0035    0.0052  -72.6319   -0.2451   -0.0093   -0.0010   -0.0002
   012161216 4   -73.2822   -0.1997   -0.0025    0.0007    0.0007  -72.1662   -0.1548    0.0050    0.0024    0.0008
   012161316 4    -0.1720    0.0121    0.0023    0.0005    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   012161416 4    -0.5865   -0.0119   -0.0016    0.0004    0.0007    0.0000    0.0000    0.0000    0.0000    0.0000
   013161316 4   -72.9402   -0.2543   -0.0110   -0.0007    0.0006  -72.6319   -0.2451   -0.0093   -0.0010   -0.0002
   013161416 4    -0.8514   -0.0138   -0.0016    0.0001    0.0005    0.0000    0.0000    0.0000    0.0000    0.0000
   014161416 4   -73.2640   -0.2981   -0.0173   -0.0017    0.0009  -71.7334   -0.2574   -0.0109   -0.0013   -0.0002
   012161216 5   -73.1605   -0.1700    0.0025    0.0025    0.0015  -72.1662   -0.1548    0.0050    0.0024    0.0008
   012161316 5     0.1149   -0.0043   -0.0011   -0.0002    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   012161416 5    -0.4681   -0.0013    0.0000    0.0004    0.0004    0.0000    0.0000    0.0000    0.0000    0.0000
   012161516 5     0.2418   -0.0054   -0.0011   -0.0009   -0.0007    0.0000    0.0000    0.0000    0.0000    0.0000
   013161316 5   -72.6869   -0.2505   -0.0105   -0.0013    0.0000  -72.6319   -0.2451   -0.0093   -0.0010   -0.0002
   013161416 5    -0.1460   -0.0184   -0.0032   -0.0007    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   013161516 5    -0.2457   -0.0150   -0.0024    0.0005    0.0009    0.0000    0.0000    0.0000    0.0000    0.0000
   014161416 5   -72.3148   -0.2716   -0.0134   -0.0016    0.0002  -71.7334   -0.2574   -0.0109   -0.0013   -0.0002
   014161516 5     0.3765    0.0110    0.0016   -0.0004   -0.0008    0.0000    0.0000    0.0000    0.0000    0.0000
   015161516 5   -72.7520   -0.2916   -0.0166   -0.0016    0.0007  -72.6778   -0.2912   -0.0160   -0.0025   -0.0006
   012161216 6   -72.7906   -0.1871   -0.0007    0.0017    0.0013  -72.1662   -0.1548    0.0050    0.0024    0.0008
   012161316 6    -0.2640    0.0047    0.0009    0.0005    0.0003    0.0000    0.0000    0.0000    0.0000    0.0000
   012161416 6    -0.3508   -0.0158   -0.0025   -0.0003    0.0003    0.0000    0.0000    0.0000    0.0000    0.0000
   012161516 6    -0.2463   -0.0023   -0.0001    0.0001    0.0002    0.0000    0.0000    0.0000    0.0000    0.0000
   013161316 6   -73.1360   -0.2471   -0.0095   -0.0007    0.0004  -72.6319   -0.2451   -0.0093   -0.0010   -0.0002
   013161416 6    -0.6073   -0.0101   -0.0011    0.0001    0.0004    0.0000    0.0000    0.0000    0.0000    0.0000
   013161516 6    -0.7320   -0.0123   -0.0015   -0.0001    0.0003    0.0000    0.0000    0.0000    0.0000    0.0000
   014161416 6   -72.0995   -0.2715   -0.0135   -0.0016    0.0003  -71.7334   -0.2574   -0.0109   -0.0013   -0.0002
   014161516 6    -0.5230   -0.0062   -0.0007   -0.0002    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   015161516 6   -73.6680   -0.3114   -0.0189   -0.0028   -0.0001  -72.6778   -0.2912   -0.0160   -0.0025   -0.0006
   012161216 7   -73.1049   -0.1586    0.0047    0.0031    0.0017  -72.1662   -0.1548    0.0050    0.0024    0.0008
   012161316 7     0.0277   -0.0019   -0.0006    0.0000    0.0003    0.0000    0.0000    0.0000    0.0000    0.0000
   012161416 7    -0.5819    0.0006    0.0005    0.0006    0.0006    0.0000    0.0000    0.0000    0.0000    0.0000
   013161316 7   -72.7858   -0.2573   -0.0118   -0.0013    0.0005  -72.6319   -0.2451   -0.0093   -0.0010   -0.0002
   013161416 7    -0.0469   -0.0044   -0.0009    0.0002    0.0005    0.0000    0.0000    0.0000    0.0000    0.0000
   014161416 7   -72.4536   -0.2757   -0.0138   -0.0014    0.0006  -71.7334   -0.2574   -0.0109   -0.0013   -0.0002
   012161216 8   -72.5482   -0.1853   -0.0006    0.0014    0.0013  -72.1662   -0.1548    0.0050    0.0024    0.0008
   012161316 8    -0.4335   -0.0038   -0.0005    0.0002    0.0005    0.0000    0.0000    0.0000    0.0000    0.0000
   013161316 8   -74.4642   -0.2762   -0.0139   -0.0018    0.0016  -72.6319   -0.2451   -0.0093   -0.0010   -0.0002
   012161216 9   -73.7984   -0.1659    0.0036    0.0031    0.0025  -72.1662   -0.1548    0.0050    0.0024    0.0008
   112161216 2   -73.1062   -0.2085   -0.0039    0.0040    0.0044  -72.1662   -0.1548    0.0050    0.0024    0.0008
   112161216 3   -72.5857   -0.1814    0.0005    0.0023    0.0019  -72.1662   -0.1548    0.0050    0.0024    0.0008
   112161316 3     0.1954    0.0130    0.0021   -0.0005   -0.0008    0.0000    0.0000    0.0000    0.0000    0.0000
   113161316 3   -73.3065   -0.2624   -0.0119    0.0012    0.0024  -72.6319   -0.2451   -0.0093   -0.0010   -0.0002
   112161216 4   -72.3127   -0.1561    0.0045    0.0025    0.0014  -72.1662   -0.1548    0.0050    0.0024    0.0008
   112161316 4     0.0665    0.0016    0.0003   -0.0001   -0.0002    0.0000    0.0000    0.0000    0.0000    0.0000
   112161416 4    -0.2175   -0.0160   -0.0026   -0.0003    0.0003    0.0000    0.0000    0.0000    0.0000    0.0000
   113161316 4   -72.7132   -0.2401   -0.0087   -0.0006    0.0002  -72.6319   -0.2451   -0.0093   -0.0010   -0.0002
   113161416 4    -0.1876   -0.0135   -0.0021   -0.0003    0.0002    0.0000    0.0000    0.0000    0.0000    0.0000
   114161416 4   -71.9521   -0.2682   -0.0128   -0.0012    0.0006  -71.7334   -0.2574   -0.0109   -0.0013   -0.0002
   112161216 5   -72.2635   -0.1525    0.0052    0.0026    0.0014  -72.1662   -0.1548    0.0050    0.0024    0.0008
   112161316 5     0.0488   -0.0034   -0.0006   -0.0002    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   112161416 5    -0.2135   -0.0159   -0.0025   -0.0005    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
