  0.7000  0.4008  0.1473  0.0012  0.0000  0.1461  0.0059  0.0000
  0.7100  0.4025  0.1505  0.0011  0.0000  0.1494  0.0077  0.0000
  0.7200  0.4041  0.1537  0.0010  0.0000  0.1527  0.0095  0.0000
  0.7300  0.4057  0.1569  0.0009  0.0000  0.1560  0.0114  0.0000
  0.7400  0.4072  0.1601  0.0008  0.0000  0.1593  0.0133  0.0000
  0.7500  0.4087  0.1633  0.0007  0.0000  0.1626  0.0153  0.0000
  0.7600  0.4101  0.1666  0.0006  0.0000  0.1659  0.0174  0.0000
  0.7700  0.4115  0.1698  0.0005  0.0000  0.1692  0.0195  0.0000
  0.7800  0.4129  0.1729  0.0005  0.0000  0.1725  0.0217  0.0000
  0.7900  0.4142  0.1761  0.0004  0.0000  0.1757  0.0240  0.0000
  0.8000  0.4155  0.1792  0.0004  0.0000  0.1788  0.0264  0.0000
  0.8100  0.4170  0.1821  0.0003  0.0000  0.1818  0.0292  0.0000
  0.8200  0.4185  0.1849  0.0003  0.0000  0.1846  0.0320  0.0000
  0.8300  0.4199  0.1877  0.0002  0.0000  0.1875  0.0350  0.0000
  0.8400  0.4213  0.1905  0.0002  0.0000  0.1903  0.0380  0.0000
  0.8500  0.4226  0.1933  0.0001  0.0000  0.1931  0.0410  0.0000
  0.8600  0.4239  0.1961  0.0001  0.0000  0.1960  0.0440  0.0000
  0.8700  0.4251  0.1989  0.0001  0.0000  0.1989  0.0471  0.0000
  0.8800  0.4263  0.2019  0.0001  0.0000  0.2018  0.0501  0.0000
  0.8900  0.4274  0.2048  0.0001  0.0000  0.2048  0.0530  0.0000
  0.9000  0.4284  0.2078  0.0000  0.0000  0.2078  0.0560  0.0000
  0.9100  0.4294  0.2110  0.0000  0.0000  0.2110  0.0587  0.0000
  0.9200  0.4303  0.2142  0.0000  0.0000  0.2142  0.0614  0.0000
  0.9300  0.4312  0.2174  0.0000  0.0000  0.2173  0.0641  0.0000
  0.9400  0.4321  0.2205  0.0000  0.0000  0.2205  0.0669  0.0000
  0.9500  0.4329  0.2236  0.0000  0.0000  0.2236  0.0698  0.0000
  0.9600  0.4338  0.2267  0.0000  0.0000  0.2267  0.0728  0.0000
  0.9700  0.4346  0.2297  0.0000  0.0000  0.2297  0.0759  0.0000
  0.9800  0.4354  0.2327  0.0000  0.0000  0.2327  0.0792  0.0000
  0.9900  0.4362  0.2355  0.0000  0.0000  0.2355  0.0828  0.0000
  1.0000  0.4370  0.2383  0.0000  0.0000  0.2383  0.0865  0.0000
  1.0100  0.4375  0.2411  0.0000  0.0000  0.2411  0.0903  0.0000
  1.0200  0.4380  0.2440  0.0000  0.0000  0.2440  0.0941  0.0000
  1.0300  0.4383  0.2468  0.0000  0.0000  0.2468  0.0981  0.0000
  1.0400  0.4387  0.2496  0.0000  0.0000  0.2496  0.1022  0.0000
  1.0500  0.4390  0.2523  0.0000  0.0000  0.2523  0.1064  0.0000
  1.0600  0.4393  0.2551  0.0000  0.0000  0.2551  0.1106  0.0000
  1.0700  0.4396  0.2578  0.0000  0.0000  0.2578  0.1148  0.0000
  1.0800  0.4399  0.2605  0.0000  0.0000  0.2605  0.1192  0.0000
  1.0900  0.4402  0.2631  0.0000  0.0000  0.2631  0.1235  0.0000
