119 10
    0.010    17.97     0.00     3.83     3.94
    0.020    26.22     0.00     4.58     4.83
    0.030    33.54     0.00     5.14     5.58
    0.040    40.05     0.00     5.57     6.24
    0.050    45.86     0.00     5.90     6.82
    0.060    51.07     0.00     6.17     7.35
    0.070    55.77     0.00     6.43     7.87
    0.080    60.07     0.00     6.68     8.38
    0.090    64.03     0.00     6.96     8.91
    0.100    67.72     0.00     7.29     9.48
    0.110    71.41     0.00     7.72    10.18
    0.120    74.93     0.00     8.21    10.94
    0.130    78.28     0.00     8.76    11.77
    0.140    81.43   107.43     9.34    12.67
    0.150    84.35   109.79     9.93    13.63
    0.160    87.12   112.06    10.56    14.66
    0.170    89.77   114.24    11.25    15.75
    0.180    92.32   116.36    12.00    16.92
    0.190    94.80   118.43    12.81    18.15
    0.200    97.21   120.46    13.71    19.53
    0.210    99.50   122.40    15.02    21.11
    0.220   101.73   124.29    16.34    22.70
    0.230   103.91   126.15    17.69    24.29
    0.240   106.02   127.96    19.06    25.88
    0.250   108.09   129.74    20.48    27.48
    0.260   110.10   131.49    21.96    29.10
    0.270   111.85   133.01    23.50    30.72
    0.280   111.22   132.45    25.12    32.36
    0.290   110.53   131.86    26.82    34.02
    0.300   109.79   131.22    28.63    35.69
    0.310   108.99   130.52    30.54    37.39
    0.320   108.12   129.77    32.54    39.10
    0.330   107.19   128.97    34.61    40.81
    0.340   106.19   128.11    36.74    42.54
    0.350   105.12   127.19    38.90    44.27
    0.360   103.98   126.22    41.08    45.99
    0.370   102.78   125.19    43.26    47.70
    0.380   101.51   124.11    45.43    49.41
    0.390   100.19   122.98    47.55    51.09
    0.400    98.81   121.81    49.62    52.76
    0.410    97.23   120.47    51.61    54.39
    0.420    95.63   119.13    53.55    56.01
    0.430    94.05   117.80    55.42    57.61
    0.440    92.47   116.48    57.25    59.20
    0.450    90.90   115.18    59.04    60.78
    0.460    89.35   113.90    60.80    62.36
    0.470    87.81   112.63    62.54    63.95
    0.480    86.28   111.37    64.28    65.54
    0.490    84.75   110.12    66.00    67.15
    0.500    83.22   108.88    67.74    68.78
    0.510    81.76   107.70    69.49    70.43
    0.520    80.27   106.50    71.26    72.11
    0.530    78.73     0.00    73.03    73.80
    0.540    77.15     0.00    74.82    75.51
    0.550    75.52     0.00    76.62    77.24
    0.560    73.85     0.00    78.42    78.97
    0.570    72.13     0.00    80.23    80.72
    0.580    70.38     0.00    82.04    82.48
    0.590    68.57     0.00    83.85    84.24
    0.600    66.74     0.00    85.66    86.00
    0.610    64.86     0.00    87.46    87.77
    0.620    62.95     0.00    89.26    89.53
    0.630    61.02     0.00    91.06    91.29
    0.640    59.07     0.00    92.85    93.06
    0.650    57.10     0.00    94.64    94.82
    0.660    55.11     0.00    96.42    96.57
    0.670    53.31     0.00    98.20    98.33
    0.680    51.62     0.00    99.96   100.08
    0.690    49.95     0.00   101.73   101.82
    0.700    48.28     0.00   103.48   103.56
    0.710    46.65     0.00   105.23   105.29
    0.720    45.04     0.00   106.97   107.02
    0.730    43.45     0.00   108.70   108.75
    0.740    41.89     0.00   110.43   110.47
    0.750    40.32     0.00   112.17   112.20
    0.760    38.77     0.00   113.90   113.93
    0.770    37.22     0.00   115.64   115.66
    0.780    35.67     0.00   117.38   117.39
    0.790    34.11     0.00   119.12   119.14
    0.800    32.54     0.00   120.88   120.89
    0.810    30.79     0.00   122.65   122.65
    0.820    29.04     0.00   124.42   124.43
    0.830    27.30     0.00   126.20   126.21
    0.840    25.59     0.00   127.99   128.00
    0.850    23.92     0.00   129.79   129.79
    0.860    22.29     0.00   131.59   131.59
    0.870    20.72     0.00   133.40   133.40
    0.880    19.21     0.00   135.21   135.21
    0.890    17.76     0.00   137.02   137.02
    0.900    16.37     0.00   138.83   138.83
    0.910    15.13     0.00   140.64   140.64
    0.920    13.90     0.00   142.46   142.45
    0.930    12.69     0.00   144.26   144.26
    0.940    11.48     0.00   146.06   146.06
    0.950    10.26     0.00   147.86   147.86
    0.960     9.04     0.00   149.64   149.64
    0.970     7.79     0.00   151.41   151.41
    0.980     6.52     0.00   153.17   153.17
    0.990     5.23     0.00   154.91   154.91
    1.000     3.91     0.00   156.63   156.63
    1.010     2.63     0.00   158.33   158.33
    1.020     1.39     0.00   160.01   160.01
    1.030     0.00     0.00   161.68   161.68
    1.040     0.00     0.00   163.34   163.34
    1.050     0.00     0.00   164.99   164.99
    1.060     0.00     0.00   166.64   166.64
    1.070     0.00     0.00   168.29   168.29
    1.080     0.00     0.00   169.94   169.94
    1.090     0.00     0.00   171.60   171.60
    1.100     0.00     0.00   173.27   173.27
    1.110     0.00     0.00   174.95   174.95
    1.120     0.00     0.00   176.65   176.65
    1.130     0.00     0.00   178.36   178.36
    1.140     0.00     0.00   180.07   180.07
    1.150     0.00     0.00   181.80   181.80
    1.160     0.00     0.00   183.53   183.53
    1.170     0.00     0.00   185.26   185.26
    1.180     0.00     0.00   187.00   187.00
    1.190     0.00     0.00   188.74   188.74
