 119 10
    0.010    17.97     0.00     3.83     3.94
    0.020    26.22     0.00     4.58     4.83
    0.030    33.54     0.00     5.14     5.58
    0.040    40.05     0.00     5.57     6.24
    0.050    45.86     0.00     5.90     6.82
    0.060    51.07     0.00     6.17     7.35
    0.070    55.77     0.00     6.43     7.87
    0.080    60.07     0.00     6.68     8.38
    0.090    64.03     0.00     6.96     8.91
    0.100    67.72     0.00     7.29     9.48
    0.110    71.41     0.00     7.72    10.18
    0.120    74.93     0.00     8.21    10.94
    0.130    78.28     0.00     8.76    11.77
    0.140    81.43   107.43     9.34    12.67
    0.150    84.35   109.79     9.93    13.63
    0.160    87.12   112.06    10.56    14.66
    0.170    89.77   114.24    11.25    15.75
    0.180    92.32   116.36    12.00    16.92
    0.190    94.80   118.43    12.81    18.15
    0.200    97.21   120.46    13.71    19.53
    0.210    99.50   122.40    14.99    21.11
    0.220   101.73   124.29    16.29    22.69
    0.230   103.91   126.15    17.60    24.28
    0.240   106.02   127.96    18.95    25.88
    0.250   108.09   129.74    20.34    27.48
    0.260   110.10   131.49    21.78    29.10
    0.270   111.89   133.04    23.29    30.73
    0.280   111.66   132.84    24.86    32.38
    0.290   111.37   132.59    26.52    34.05
    0.300   111.02   132.28    28.28    35.74
    0.310   110.61   131.93    30.13    37.45
    0.320   110.16   131.53    32.08    39.18
    0.330   109.66   131.10    34.10    40.93
    0.340   109.13   130.64    36.18    42.71
    0.350   108.56   130.15    38.32    44.49
    0.360   107.96   129.64    40.49    46.29
    0.370   107.34   129.10    42.68    48.10
    0.380   106.68   128.54    44.88    49.92
    0.390   106.01   127.95    47.08    51.75
    0.400   105.30   127.35    49.26    53.59
    0.410   104.58   126.73    51.40    55.42
    0.420   103.83   126.09    53.52    57.27
    0.430   103.05   125.42    55.62    59.11
    0.440   102.25   124.74    57.69    60.96
    0.450   101.42   124.03    59.75    62.82
    0.460   100.56   123.30    61.80    64.68
    0.470    99.68   122.55    63.83    66.55
    0.480    98.78   121.79    65.87    68.43
    0.490    97.86   121.01    67.90    70.32
    0.500    96.92   120.22    69.94    72.21
    0.510    96.00   119.44    71.98    74.12
    0.520    95.05   118.64    74.03    76.03
    0.530    94.09   117.84    76.09    77.96
    0.540    93.11   117.02    78.16    79.90
    0.550    92.12   116.19    80.25    81.86
    0.560    91.11   115.35    82.34    83.83
    0.570    90.09   114.51    84.44    85.82
    0.580    89.05   113.64    86.56    87.83
    0.590    87.99   112.78    88.69    89.85
    0.600    86.92   111.89    90.83    91.90
    0.610    85.83   111.00    92.98    93.98
    0.620    84.72   110.10    95.15    96.07
    0.630    83.60   109.19    97.33    98.18
    0.640    82.47   108.27    99.51   100.30
    0.650    81.49   107.48   101.70   102.43
    0.660    80.61   106.77   103.89   104.58
    0.670    79.74   106.07   106.09   106.73
    0.680    78.87     0.00   108.28   108.88
    0.690    78.02     0.00   110.47   111.03
    0.700    77.16     0.00   112.65   113.18
    0.710    76.30     0.00   114.83   115.32
    0.720    75.43     0.00   116.99   117.46
    0.730    74.57     0.00   119.15   119.60
    0.740    73.74     0.00   121.31   121.73
    0.750    72.91     0.00   123.45   123.85
    0.760    72.09     0.00   125.59   125.96
    0.770    71.29     0.00   127.72   128.08
    0.780    70.50     0.00   129.84   130.18
    0.790    69.72     0.00   131.96   132.28
    0.800    68.95     0.00   134.07   134.37
    0.810    68.20     0.00   136.17   136.46
    0.820    67.44     0.00   138.27   138.54
    0.830    66.68     0.00   140.36   140.61
    0.840    65.93     0.00   142.45   142.68
    0.850    65.18     0.00   144.53   144.75
    0.860    64.43     0.00   146.61   146.81
    0.870    63.70     0.00   148.68   148.88
    0.880    62.98     0.00   150.76   150.94
    0.890    62.27     0.00   152.83   153.00
    0.900    61.58     0.00   154.90   155.06
    0.910    60.90     0.00   156.97   157.12
    0.920    60.21     0.00   159.04   159.18
    0.930    59.52     0.00   161.10   161.24
    0.940    58.82     0.00   163.16   163.29
    0.950    58.10     0.00   165.21   165.33
    0.960    57.38     0.00   167.25   167.36
    0.970    56.63     0.00   169.27   169.38
    0.980    55.87     0.00   171.28   171.38
    0.990    55.11     0.00   173.28   173.37
    1.000    54.33     0.00   175.25   175.34
    1.010    53.62     0.00   177.20   177.29
    1.020    52.91     0.00   179.14   179.22
    1.030    52.23     0.00   181.06   181.14
    1.040    51.54     0.00   182.98   183.05
    1.050    50.88     0.00   184.88   184.95
    1.060    50.22     0.00   186.79   186.86
    1.070    49.58     0.00   188.70   188.76
    1.080    48.93     0.00   190.62   190.68
    1.090    48.29     0.00   192.55   192.60
    1.100    47.64     0.00   194.49   194.54
    1.110    46.93     0.00   196.45   196.50
    1.120    46.21     0.00   198.43   198.47
    1.130    45.49     0.00   200.42   200.46
    1.140    44.78     0.00   202.43   202.47
    1.150    44.07     0.00   204.44   204.48
    1.160    43.38     0.00   206.47   206.50
    1.170    42.70     0.00   208.50   208.53
    1.180    42.03     0.00   210.53   210.56
    1.190    41.38     0.00   212.57   212.60
