 102   0.37950E+01 0.89548E+02 0.44774E-01 0.41953E-01
 104   0.79485E+01 0.18756E+03 0.93778E-01 0.89013E-01
 106   0.11444E+02 0.27004E+03 0.13502E+00 0.12980E+00
 108   0.14055E+02 0.33164E+03 0.16582E+00 0.16141E+00
 110   0.15567E+02 0.36733E+03 0.18366E+00 0.18097E+00
 122   0.10248E+02 0.24181E+03 0.12090E+00 0.12765E+00
 124   0.92692E+01 0.21872E+03 0.10936E+00 0.11672E+00
 126   0.77956E+01 0.18395E+03 0.91974E-01 0.99215E-01
 128   0.58116E+01 0.13713E+03 0.68567E-01 0.74745E-01
 130   0.32438E+01 0.76542E+02 0.38271E-01 0.42153E-01
