  0  3  0  3  0  3  0  3  0  2  -2.2123
  0  3  0  3  0  3  0  1  0  2   6.0887
  0  3  0  3  0  1  0  1  0  2   2.8485
  0  3  0  1  0  3  0  1  0  2  -7.9423
  0  3  0  1  0  1  0  1  0  2   2.4932
  0  1  0  1  0  1  0  1  0  2  -3.0489
  0  3  0  1  0  3  0  1  0  4  -8.1261
  0  3  0  3  0  3  0  3  0  6  -6.0884
  0  3  0  3  0  3  0  3  2  0  -3.8893
  0  3  0  3  0  1  0  1  2  0  -5.4670
  0  1  0  1  0  1  0  1  2  0    .0396
  0  3  0  1  0  3  0  1  2  2    .0989
  0  3  0  3  0  3  0  3  2  4  -1.3399
  0  3  0  3  0  3  0  1  2  4  -2.2846
  0  3  0  1  0  3  0  1  2  4  -2.3977
