   0.330E+00  0.1706E+02  0.8231E+00  0.1352E+00 -0.1895E+02
   0.360E+00  0.1608E+02  0.9351E+00  0.1428E+00 -0.3686E+00
   0.390E+00  0.1541E+02  0.1041E+01  0.1506E+00  0.1333E+02
   0.420E+00  0.1492E+02  0.1141E+01  0.1587E+00  0.2446E+02
   0.450E+00  0.1453E+02  0.1232E+01  0.1672E+00  0.3401E+02
   0.480E+00  0.1421E+02  0.1317E+01  0.1761E+00  0.4238E+02
   0.510E+00  0.1394E+02  0.1394E+01  0.1854E+00  0.4985E+02
   0.540E+00  0.1370E+02  0.1463E+01  0.1950E+00  0.5653E+02
   0.570E+00  0.1348E+02  0.1526E+01  0.2051E+00  0.6249E+02
   0.600E+00  0.1342E+02  0.1544E+01  0.2083E+00  0.6422E+02
   0.630E+00  0.1342E+02  0.1544E+01  0.2083E+00  0.6422E+02
   0.660E+00  0.1342E+02  0.1544E+01  0.2083E+00  0.6422E+02
   0.690E+00  0.1331E+02  0.1565E+01  0.2151E+00  0.6633E+02
   0.720E+00  0.1318E+02  0.1584E+01  0.1778+280  0.7783E+03
   0.750E+00  0.1304E+02  0.1601E+01  0.5503+280  0.7544E+03
   0.780E+00  0.1290E+02  0.1615E+01  0.2385E+00  0.7164E+02
   0.810E+00  0.1278E+02  0.1627E+01  0.3899+280  0.7099E+03
   0.840E+00  0.1265E+02  0.1638E+01  0.2008+280  0.6892E+03
   0.870E+00  0.1254E+02  0.1647E+01  0.4126+280  0.6708E+03
   0.900E+00  0.1243E+02  0.1655E+01  0.2688E+00  0.7564E+02
   0.930E+00  0.1232E+02  0.1661E+01  0.2174+280  0.6367E+03
   0.960E+00  0.1222E+02  0.1667E+01  0.2835E+00  0.7672E+02
   0.990E+00  0.1213E+02  0.1672E+01  0.2908E+00  0.7708E+02
   0.102E+01  0.1204E+02  0.1675E+01  0.2980E+00  0.7736E+02
   0.105E+01  0.1195E+02  0.1678E+01  0.3051E+00  0.7754E+02
   0.108E+01  0.1187E+02  0.1680E+01  0.3121E+00  0.7767E+02
   0.111E+01  0.1179E+02  0.1682E+01  0.2483+280  0.5574E+03
   0.114E+01  0.1172E+02  0.1683E+01  0.2529+280  0.5472E+03
   0.117E+01  0.1165E+02  0.1683E+01  0.5152+280  0.5372E+03
   0.120E+01  0.1157E+02  0.1684E+01  0.3396E+00  0.7754E+02
   0.123E+01  0.1151E+02  0.1683E+01  0.2668+280  0.5188E+03
   0.126E+01  0.1145E+02  0.1682E+01  0.3529E+00  0.7720E+02
   0.129E+01  0.1138E+02  0.1681E+01  0.3594E+00  0.7700E+02
   0.132E+01  0.1133E+02  0.1680E+01  0.2799+280  0.4944E+03
   0.135E+01  0.1127E+02  0.1679E+01  0.2842+280  0.4869E+03
   0.138E+01  0.1121E+02  0.1677E+01  0.3788E+00  0.7624E+02
   0.141E+01  0.1116E+02  0.1675E+01  0.3852E+00  0.7594E+02
   0.144E+01  0.1111E+02  0.1673E+01  0.2966+280  0.4666E+03
   0.147E+01  0.1106E+02  0.1670E+01  0.3005+280  0.4605E+03
   0.150E+01  0.1101E+02  0.1668E+01  0.6091+280  0.4544E+03
   0.153E+01  0.1097E+02  0.1665E+01  0.4102E+00  0.7463E+02
   0.156E+01  0.1092E+02  0.1662E+01  0.4164E+00  0.7428E+02
   0.159E+01  0.1088E+02  0.1659E+01  0.6319+280  0.4380E+03
   0.162E+01  0.1083E+02  0.1656E+01  0.4288E+00  0.7356E+02
   0.165E+01  0.1079E+02  0.1653E+01  0.4349E+00  0.7319E+02
   0.168E+01  0.1075E+02  0.1650E+01  0.4411E+00  0.7281E+02
   0.171E+01  0.1071E+02  0.1647E+01  0.4472E+00  0.7243E+02
   0.174E+01  0.1067E+02  0.1644E+01  0.6696+280  0.4134E+03
   0.177E+01  0.1063E+02  0.1640E+01  0.6770+280  0.4089E+03
   0.180E+01  0.1060E+02  0.1637E+01  0.6837+280  0.4048E+03
