   .10000000     .00000000
  1.09510000  -21.39600000    -.46802000
  1.10300000  -21.33800000    -.10562000
  1.11100000  -21.27900000     .25903000
  1.11890000  -21.22100000     .62591000
  1.12690000  -21.16300000     .99504000
  1.13480000  -21.10500000    1.36640000
  1.14270000  -21.04700000    1.74000000
  1.15070000  -20.98900000    2.11590000
  1.15860000  -20.93000000    2.49400000
  1.16650000  -20.87200000    2.87430000
  1.17450000  -20.81400000    3.25680000
  1.18240000  -20.75500000    3.64160000
  1.19030000  -20.69700000    4.02860000
  1.19830000  -20.63800000    4.41790000
  1.20620000  -20.58000000    4.80940000
  1.21410000  -20.52100000    5.20310000
  1.22210000  -20.46300000    5.59900000
  1.23000000  -20.40400000    5.99720000
  1.23800000  -20.34500000    6.39760000
  1.24590000  -20.28700000    6.80020000
  1.25380000  -20.22800000    7.20500000
  1.26180000  -20.16900000    7.61210000
  1.26970000  -20.11100000    8.02140000
  1.27760000  -20.05200000    8.43290000
  1.28560000  -19.99300000    8.84660000
  1.29350000  -19.93400000    9.26260000
  1.30140000  -19.87500000    9.68070000
  1.30940000  -19.81700000   10.10100000
  1.31730000  -19.75800000   10.52400000
  1.32520000  -19.69900000   10.94800000
  1.33320000  -19.64000000   11.37500000
  1.34110000  -19.58100000   11.80500000
  1.34900000  -19.52200000   12.23600000
  1.35700000  -19.46300000   12.67000000
  1.36490000  -19.40400000   13.10600000
  1.37290000  -19.34500000   13.54400000
  1.38080000  -19.28700000   13.98400000
  1.38870000  -19.22800000   14.42600000
  1.39670000  -19.16900000   14.87100000
  1.40460000  -19.11000000   15.31800000
  1.41250000  -19.05100000   15.76700000
  1.42050000  -18.99200000   16.21800000
   .20000000     .00000000
   .00000000  -35.36000000  -35.36000000
   .00991140  -35.34400000  -35.34200000
   .01982300  -35.32700000  -35.32000000
   .02973400  -35.31000000  -35.29500000
   .03964600  -35.29300000  -35.26600000
   .04955700  -35.27600000  -35.23400000
   .05946800  -35.25900000  -35.19700000
   .06938000  -35.24200000  -35.15800000
   .07929100  -35.22400000  -35.11400000
   .08920300  -35.20600000  -35.06700000
   .09911400  -35.18800000  -35.01600000
   .10903000  -35.16900000  -34.96200000
   .11894000  -35.15000000  -34.90300000
   .12885000  -35.13000000  -34.84100000
   .13876000  -35.11000000  -34.77400000
   .14867000  -35.09000000  -34.70400000
